Cas: 2.70, X: 67.30, Y: 92.48, V_X: -1.00, V_Y: -2.90, P: 18.67, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.74, X: 67.26, Y: 92.38, V_X: -1.00, V_Y: -3.15, P: 18.67, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.78, X: 67.22, Y: 92.23, V_X: -1.00, V_Y: -2.91, P: 18.62, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.82, X: 67.18, Y: 92.13, V_X: -1.00, V_Y: -3.15, P: 18.62, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.87, X: 67.13, Y: 91.99, V_X: -1.00, V_Y: -2.92, P: 18.57, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.89, X: 67.11, Y: 91.91, V_X: -1.00, V_Y: -3.09, P: 18.57, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.92, X: 67.08, Y: 91.81, V_X: -1.00, V_Y: -2.91, P: 18.54, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.96, X: 67.04, Y: 91.69, V_X: -1.00, V_Y: -3.17, P: 18.54, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.01, X: 66.99, Y: 91.54, V_X: -1.00, V_Y: -2.92, P: 18.49, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.04, X: 66.96, Y: 91.47, V_X: -1.00, V_Y: -3.09, P: 18.49, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.07, X: 66.93, Y: 91.36, V_X: -1.00, V_Y: -2.91, P: 18.45, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.11, X: 66.89, Y: 91.25, V_X: -1.00, V_Y: -3.16, P: 18.45, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.15, X: 66.85, Y: 91.11, V_X: -1.00, V_Y: -2.93, P: 18.40, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.18, X: 66.82, Y: 91.04, V_X: -1.00, V_Y: -3.09, P: 18.40, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.21, X: 66.79, Y: 90.94, V_X: -1.00, V_Y: -2.92, P: 18.37, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.25, X: 66.75, Y: 90.83, V_X: -1.00, V_Y: -3.16, P: 18.37, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.30, X: 66.70, Y: 90.68, V_X: -1.00, V_Y: -2.93, P: 18.32, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.32, X: 66.68, Y: 90.62, V_X: -1.00, V_Y: -3.09, P: 18.32, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.35, X: 66.65, Y: 90.51, V_X: -1.00, V_Y: -2.91, P: 18.29, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.39, X: 66.61, Y: 90.40, V_X: -1.00, V_Y: -3.17, P: 18.29, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.44, X: 66.56, Y: 90.25, V_X: -1.00, V_Y: -2.93, P: 18.24, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.46, X: 66.54, Y: 90.18, V_X: -1.00, V_Y: -3.10, P: 18.24, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.50, X: 66.50, Y: 90.07, V_X: -1.00, V_Y: -2.92, P: 18.20, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.52, X: 66.48, Y: 89.99, V_X: -1.00, V_Y: -3.09, P: 18.20, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.56, X: 66.44, Y: 89.89, V_X: -1.00, V_Y: -2.91, P: 18.17, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.60, X: 66.40, Y: 89.78, V_X: -1.00, V_Y: -3.16, P: 18.17, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.64, X: 66.36, Y: 89.64, V_X: -1.00, V_Y: -2.93, P: 18.12, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.66, X: 66.34, Y: 89.57, V_X: -1.00, V_Y: -3.09, P: 18.12, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.70, X: 66.30, Y: 89.46, V_X: -1.00, V_Y: -2.92, P: 18.09, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.72, X: 66.28, Y: 89.39, V_X: -1.00, V_Y: -3.08, P: 18.09, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.76, X: 66.24, Y: 89.29, V_X: -1.00, V_Y: -2.90, P: 18.05, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.80, X: 66.20, Y: 89.17, V_X: -1.00, V_Y: -3.17, P: 18.05, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.85, X: 66.15, Y: 89.02, V_X: -1.00, V_Y: -2.92, P: 18.00, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.87, X: 66.13, Y: 88.95, V_X: -1.00, V_Y: -3.09, P: 18.00, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.91, X: 66.09, Y: 88.84, V_X: -1.00, V_Y: -2.92, P: 17.96, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.93, X: 66.07, Y: 88.77, V_X: -1.00, V_Y: -3.09, P: 17.96, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.97, X: 66.03, Y: 88.66, V_X: -1.00, V_Y: -2.91, P: 17.93, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.00, X: 66.00, Y: 88.56, V_X: -1.00, V_Y: -3.16, P: 17.93, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.05, X: 65.95, Y: 88.41, V_X: -1.00, V_Y: -2.92, P: 17.88, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.07, X: 65.93, Y: 88.34, V_X: -1.00, V_Y: -3.08, P: 17.88, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.11, X: 65.89, Y: 88.24, V_X: -1.00, V_Y: -2.91, P: 17.85, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.14, X: 65.86, Y: 88.13, V_X: -1.00, V_Y: -3.16, P: 17.85, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.19, X: 65.81, Y: 87.99, V_X: -1.00, V_Y: -2.92, P: 17.80, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.21, X: 65.79, Y: 87.92, V_X: -1.00, V_Y: -3.09, P: 17.80, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.25, X: 65.75, Y: 87.82, V_X: -1.00, V_Y: -2.91, P: 17.77, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.28, X: 65.72, Y: 87.70, V_X: -1.00, V_Y: -3.17, P: 17.77, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.33, X: 65.67, Y: 87.56, V_X: -1.00, V_Y: -2.93, P: 17.72, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.35, X: 65.65, Y: 87.49, V_X: -1.00, V_Y: -3.09, P: 17.72, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.39, X: 65.61, Y: 87.38, V_X: -1.00, V_Y: -2.91, P: 17.68, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.42, X: 65.58, Y: 87.27, V_X: -1.00, V_Y: -3.15, P: 17.68, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.47, X: 65.53, Y: 87.13, V_X: -1.00, V_Y: -2.92, P: 17.63, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.51, X: 65.49, Y: 87.02, V_X: -1.00, V_Y: -3.16, P: 17.63, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.55, X: 65.45, Y: 86.88, V_X: -1.00, V_Y: -2.93, P: 17.59, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.58, X: 65.42, Y: 86.81, V_X: -1.00, V_Y: -3.09, P: 17.59, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.62, X: 65.38, Y: 86.70, V_X: -1.00, V_Y: -2.91, P: 17.55, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.65, X: 65.35, Y: 86.59, V_X: -1.00, V_Y: -3.16, P: 17.55, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.70, X: 65.30, Y: 86.44, V_X: -1.00, V_Y: -2.92, P: 17.50, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.72, X: 65.28, Y: 86.37, V_X: -1.00, V_Y: -3.10, P: 17.50, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.76, X: 65.24, Y: 86.26, V_X: -1.00, V_Y: -2.92, P: 17.47, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.78, X: 65.22, Y: 86.19, V_X: -1.00, V_Y: -3.09, P: 17.47, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.82, X: 65.18, Y: 86.09, V_X: -1.00, V_Y: -2.91, P: 17.43, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.85, X: 65.15, Y: 85.98, V_X: -1.00, V_Y: -3.15, P: 17.43, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.90, X: 65.10, Y: 85.84, V_X: -1.00, V_Y: -2.92, P: 17.39, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.92, X: 65.08, Y: 85.77, V_X: -1.00, V_Y: -3.09, P: 17.39, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.96, X: 65.04, Y: 85.66, V_X: -1.00, V_Y: -2.91, P: 17.35, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.99, X: 65.01, Y: 85.55, V_X: -1.00, V_Y: -3.15, P: 17.35, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.04, X: 64.96, Y: 85.41, V_X: -1.00, V_Y: -2.91, P: 17.30, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.07, X: 64.93, Y: 85.31, V_X: -1.00, V_Y: -3.16, P: 17.30, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
